poi,zone,tr_acc,tr_precision,tr_recall,tr_f1-score,te_acc,te_precision,te_recall,te_f1-score
Is_Bus_stop,station,0.9173333333333333,0.9179582273229844,0.9173333333333333,0.9173024228167063,0.92,0.9294117647058823,0.92,0.9180555555555556
Is_Bus_stop,dvc_more,0.9166666666666666,0.9174748980693289,0.9166666666666666,0.9166263138025473,0.8701298701298701,0.867348622339548,0.8701298701298701,0.8680223285486444
Is_Bus_stop,54ft_road,0.9156666666666666,0.9163552256865687,0.9156666666666666,0.9156317850969273,0.8547486033519553,0.8835771248240863,0.8547486033519553,0.847272131768446
Is_Bus_stop,junction_mall,0.916,0.9169079328314997,0.916,0.9159542417538439,0.9078947368421053,0.9067405355493998,0.9078947368421053,0.9071214455471559
Is_Bus_stop,prantika_bus_stand,0.9103333333333333,0.9117183538757715,0.9103333333333333,0.9102578601937562,0.8045977011494253,0.9404747450218552,0.8045977011494253,0.8632515660675604
Is_Bus_stop,54ft_test,0.9216666666666666,0.9224118010837784,0.9216666666666666,0.9216321064256005,0.8383541513592946,0.8507045682522443,0.8383541513592946,0.840184714805784
Is_Turn,station,0.9112814895947426,0.9143840169799645,0.9112814895947426,0.9111151174792333,1.0,1.0,1.0,1.0
Is_Turn,dvc_more,0.9121029572836802,0.9145048726151637,0.9121029572836802,0.9119754391553009,0.7012987012987013,0.67862296433725,0.7012987012987013,0.6734598734598733
Is_Turn,54ft_road,0.911829134720701,0.9144788950062783,0.911829134720701,0.9116879902263387,0.9385474860335196,0.9477261261934568,0.9385474860335196,0.9418099492663327
Is_Turn,junction_mall,0.9101861993428259,0.9136879879687313,0.9101861993428259,0.9099957321728049,0.868421052631579,0.8942052099946837,0.868421052631579,0.8753462603878116
Is_Turn,prantika_bus_stand,0.9055312157721797,0.9086295083552559,0.9055312157721797,0.9053518064355272,0.7701149425287356,0.775575626820736,0.7701149425287356,0.7712201591511936
Is_Turn,54ft_test,0.9110076670317634,0.9144744701694024,0.9110076670317634,0.910821186674045,0.8221895664952241,0.84815764940967,0.8221895664952241,0.8288578255725831
Is_Signal,station,0.950477845351868,0.9528325866977463,0.950477845351868,0.9504133824233819,1.0,1.0,1.0,1.0
Is_Signal,dvc_more,0.9519982623805386,0.9543324243135263,0.9519982623805386,0.9519365300916773,0.948051948051948,0.8988024962050937,0.948051948051948,0.9227705627705627
Is_Signal,54ft_road,0.9539530842745438,0.9558887517662541,0.9539530842745438,0.9539041544482476,1.0,1.0,1.0,1.0
Is_Signal,junction_mall,0.9500434404865334,0.9524532439887838,0.9500434404865334,0.9499768336032931,0.5921052631578947,0.8230882083256922,0.5921052631578947,0.6354560252552656
Is_Signal,prantika_bus_stand,0.9467854039965248,0.9497532879896129,0.9467854039965248,0.946697469270995,0.896551724137931,1.0,0.896551724137931,0.9454545454545454
Is_Signal,54ft_test,0.9496090356211989,0.9526279194355471,0.9496090356211989,0.9495248723718275,0.9096252755326966,0.9514458211244162,0.9096252755326966,0.9240110290965375
Is_Congestion,station,0.8639951426836673,0.8655670515319639,0.8639951426836673,0.8638487828694984,0.64,0.7313097713097713,0.6399999999999999,0.6805
Is_Congestion,dvc_more,0.8746205221615058,0.8762685468510713,0.8746205221615058,0.8744830837690081,0.8701298701298701,0.9457933370976849,0.8701298701298701,0.9063852813852814
Is_Congestion,54ft_road,0.8758348512446873,0.8790207330783462,0.8758348512446873,0.8755733823683565,0.8603351955307262,0.9879978374481888,0.8603351955307262,0.919757746573389
Is_Congestion,junction_mall,0.864602307225258,0.8673328517388471,0.864602307225258,0.8643502213056145,0.4868421052631579,0.9608725761772853,0.4868421052631579,0.6462505822077318
Is_Congestion,prantika_bus_stand,0.8755312689738919,0.878588325364542,0.8755312689738919,0.8752794931021121,0.5862068965517241,1.0,0.5862068965517241,0.7391304347826086
Is_Congestion,54ft_test,0.8691560412871888,0.8720396614038425,0.8691560412871888,0.8689020113836293,0.7825128581925055,0.9482854357320688,0.7825128581925055,0.8568266520888912
Is_Adhoc,station,0.8170454545454545,0.81906432748538,0.8170454545454545,0.8167555857341481,0.76,0.7638030560271648,0.76,0.7568472906403941
Is_Adhoc,dvc_more,0.8159090909090909,0.817642094329211,0.8159090909090909,0.8156576554733908,0.6623376623376623,0.6731995277449823,0.6623376623376623,0.6673623995052567
Is_Adhoc,54ft_road,0.8340909090909091,0.8366015112720915,0.8340909090909091,0.8337809655400824,0.7932960893854749,0.8138162799995677,0.7932960893854749,0.7820083562187436
Is_Adhoc,junction_mall,0.8184659090909091,0.820827475226836,0.8184659090909091,0.8181312314540599,0.8026315789473685,0.8152426520847573,0.8026315789473685,0.8076027372720432
Is_Adhoc,prantika_bus_stand,0.8230113636363636,0.8274539162023514,0.8230113636363636,0.8224090214299454,0.5747126436781609,0.5739574123194813,0.5747126436781609,0.5742593060564988
Is_Adhoc,54ft_test,0.8238636363636364,0.8265625,0.8238636363636364,0.8234989648033126,0.7083027185892726,0.7093589885706045,0.7083027185892726,0.7087203393891356
