start_time,end_time,scores
08:37:44,08:38:13,2.0
08:39:00,08:39:21,2.0
08:40:03,08:40:04,-2.0
08:40:23,08:40:48,2.0
08:40:57,08:41:10,2.0
10:28:02,10:28:12,-2.0
10:29:05,10:29:39,2.0
10:30:06,10:30:21,2.0
11:50:35,11:50:45,-2.0
11:52:22,11:52:24,2.0
11:52:46,11:52:56,-2.0
12:40:38,12:40:44,-2.0
12:41:08,12:41:15,2.0
12:41:41,12:41:46,2.0
12:42:08,12:42:11,-0.8725252928694238
07:13:54,07:14:12,-1.0009142624312657
07:14:38,07:14:40,2.0
07:15:07,07:15:20,2.0
07:15:29,07:15:45,2.0
07:15:58,07:17:26,2.0
07:17:57,07:18:19,2.0
09:07:20,09:07:39,2.0
09:09:00,09:10:30,2.0
11:08:29,11:08:50,2.0
11:09:13,11:09:51,2.0
11:10:04,11:10:23,2.0
11:10:40,11:10:41,-2.0
11:10:51,11:11:09,-2.0
11:11:19,11:11:23,2.0
