d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration
3,0,36,0
1,0,16,3
2,0,17,30
0,2,4,6
1,0,4,1
2,0,4,12
2,3,28,20
0,6,15,59
0,0,8,16
3,2,17,4
0,0,6,13
0,0,6,11
2,1,19,10
6,5,21,10
3,1,9,7
2,3,2,12
2,0,4,5
1,0,6,4
2,6,4,23
5,3,15,23
3,2,10,3
4,2,4,19
2,3,7,11
1,2,12,43
3,0,5,4
0,0,5,11
4,10,8,21
4,8,16,26
0,20,3,39
27,14,3,9
19,0,8,3
13,0,7,6
37,27,48,39
10,7,16,2
5,6,5,10
32,0,202,1
2,0,119,3
0,0,3,5
0,0,2,5
0,0,3,1
0,0,1,79
0,4,1,197
1,0,11,9
0,0,5,8
1,2,7,26
6,3,24,36
2,0,7,10
3,15,205,35
3,4,5,35
