,BS1(s),BS2(s),BS3,BS4,BS5,BS6(s),BS7(s),BS8(s),BS9,BS10(s),BS11,BS12(s),BS13,BS14(s),BS15,BS16,BS17,BS18,BS19,BS20(s),BS21(s),BS22(s),BS23(s),BS24(s),BS25,BS26,BS27(s),BS28
BS1(s),,0.55,-1.12,-1.52,-1.57,-0.92,0.78,2.1,2.15,3.55,4.13,4.68,3.58,3.85,4.27,4.32,1.58,0.43,0.58,0.62,1.22,1.58,2.2,2.75,2.63,2.62,2.73,2.45
BS2(s),,,-1.67,-2.07,-2.12,-1.47,0.23,1.55,1.6,3.0,3.58,4.13,3.03,3.3,3.72,3.77,1.03,-0.12,0.03,0.07,0.67,1.03,1.65,2.2,2.08,2.07,2.18,1.9
BS3,,,,-0.4,-0.45,0.2,1.9,3.22,3.27,4.67,5.25,5.8,4.7,4.97,5.38,5.43,2.7,1.55,1.7,1.73,2.33,2.7,3.32,3.87,3.75,3.73,3.85,3.57
BS4,,,,,-0.05,0.6,2.3,3.62,3.67,5.07,5.65,6.2,5.1,5.37,5.78,5.83,3.1,1.95,2.1,2.13,2.73,3.1,3.72,4.27,4.15,4.13,4.25,3.97
BS5,,,,,,0.65,2.35,3.67,3.72,5.12,5.7,6.25,5.15,5.42,5.83,5.88,3.15,2.0,2.15,2.18,2.78,3.15,3.77,4.32,4.2,4.18,4.3,4.02
BS6(s),,,,,,,1.7,3.02,3.07,4.47,5.05,5.6,4.5,4.77,5.18,5.23,2.5,1.35,1.5,1.53,2.13,2.5,3.12,3.67,3.55,3.53,3.65,3.37
BS7(s),,,,,,,,1.32,1.37,2.77,3.35,3.9,2.8,3.07,3.48,3.53,0.8,-0.35,-0.2,-0.17,0.43,0.8,1.42,1.97,1.85,1.83,1.95,1.67
BS8(s),,,,,,,,,0.05,1.45,2.03,2.58,1.48,1.75,2.17,2.22,-0.52,-1.67,-1.52,-1.48,-0.88,-0.52,0.1,0.65,0.53,0.52,0.63,0.35
BS9,,,,,,,,,,1.4,1.98,2.53,1.43,1.7,2.12,2.17,-0.57,-1.72,-1.57,-1.53,-0.93,-0.57,0.05,0.6,0.48,0.47,0.58,0.3
BS10(s),,,,,,,,,,,0.58,1.13,0.03,0.3,0.72,0.77,-1.97,-3.12,-2.97,-2.93,-2.33,-1.97,-1.35,-0.8,-0.92,-0.93,-0.82,-1.1
BS11,,,,,,,,,,,,0.55,-0.55,-0.28,0.13,0.18,-2.55,-3.7,-3.55,-3.52,-2.92,-2.55,-1.93,-1.38,-1.5,-1.52,-1.4,-1.68
BS12(s),,,,,,,,,,,,,-1.1,-0.83,-0.42,-0.37,-3.1,-4.25,-4.1,-4.07,-3.47,-3.1,-2.48,-1.93,-2.05,-2.07,-1.95,-2.23
BS13,,,,,,,,,,,,,,0.27,0.68,0.73,-2.0,-3.15,-3.0,-2.97,-2.37,-2.0,-1.38,-0.83,-0.95,-0.97,-0.85,-1.13
BS14(s),,,,,,,,,,,,,,,0.42,0.47,-2.27,-3.42,-3.27,-3.23,-2.63,-2.27,-1.65,-1.1,-1.22,-1.23,-1.12,-1.4
BS15,,,,,,,,,,,,,,,,0.05,-2.68,-3.83,-3.68,-3.65,-3.05,-2.68,-2.07,-1.52,-1.63,-1.65,-1.53,-1.82
BS16,,,,,,,,,,,,,,,,,-2.73,-3.88,-3.73,-3.7,-3.1,-2.73,-2.12,-1.57,-1.68,-1.7,-1.58,-1.87
BS17,,,,,,,,,,,,,,,,,,-1.15,-1.0,-0.97,-0.37,0.0,0.62,1.17,1.05,1.03,1.15,0.87
BS18,,,,,,,,,,,,,,,,,,,0.15,0.18,0.78,1.15,1.77,2.32,2.2,2.18,2.3,2.02
BS19,,,,,,,,,,,,,,,,,,,,0.03,0.63,1.0,1.62,2.17,2.05,2.03,2.15,1.87
BS20(s),,,,,,,,,,,,,,,,,,,,,0.6,0.97,1.58,2.13,2.02,2.0,2.12,1.83
BS21(s),,,,,,,,,,,,,,,,,,,,,,0.37,0.98,1.53,1.42,1.4,1.52,1.23
BS22(s),,,,,,,,,,,,,,,,,,,,,,,0.62,1.17,1.05,1.03,1.15,0.87
BS23(s),,,,,,,,,,,,,,,,,,,,,,,,0.55,0.43,0.42,0.53,0.25
BS24(s),,,,,,,,,,,,,,,,,,,,,,,,,-0.12,-0.13,-0.02,-0.3
BS25,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.1,-0.18
BS26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.17
BS27(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28
BS28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
