,BS1(s),BS2(s),BS3(s),BS4(s),BS5(s),BS6,BS7,BS8(s),BS9,BS10(s),BS11,BS12(s),BS13,BS14,BS15(s),BS16(s),BS17(s),BS18,BS19(s),BS20(s),BS21(s),BS22,BS23,BS24,BS25(s)
BS1(s),--,18:43:02,18:45:45,18:47:11,18:48:23,18:49:18,18:50:09,18:51:37,18:53:10,18:54:18,18:56:05,18:57:06,18:58:48,19:00:27,19:01:31,19:02:48,19:04:50,19:08:56,19:13:50,19:16:47,19:18:36,19:19:33,19:20:28,19:21:52,19:23:15
BS2(s),--,--,18:44:53,18:46:19,18:47:31,18:48:26,18:49:17,18:50:45,18:52:18,18:53:26,18:55:13,18:56:14,18:57:56,18:59:35,19:00:39,19:01:56,19:03:58,19:08:04,19:12:58,19:15:55,19:17:44,19:18:41,19:19:36,19:21:00,19:22:23
BS3(s),--,--,--,18:45:37,18:46:49,18:47:44,18:48:35,18:50:03,18:51:36,18:52:44,18:54:31,18:55:32,18:57:14,18:58:53,18:59:57,19:01:14,19:03:16,19:07:22,19:12:16,19:15:13,19:17:02,19:17:59,19:18:54,19:20:18,19:21:41
BS4(s),--,--,--,--,18:46:30,18:47:25,18:48:16,18:49:44,18:51:17,18:52:25,18:54:12,18:55:13,18:56:55,18:58:34,18:59:38,19:00:55,19:02:57,19:07:03,19:11:57,19:14:54,19:16:43,19:17:40,19:18:35,19:19:59,19:21:22
BS5(s),--,--,--,--,--,18:46:53,18:47:44,18:49:12,18:50:45,18:51:53,18:53:40,18:54:41,18:56:23,18:58:02,18:59:06,19:00:23,19:02:25,19:06:31,19:11:25,19:14:22,19:16:11,19:17:08,19:18:03,19:19:27,19:20:50
BS6,--,--,--,--,--,--,18:47:44,18:49:12,18:50:45,18:51:53,18:53:40,18:54:41,18:56:23,18:58:02,18:59:06,19:00:23,19:02:25,19:06:31,19:11:25,19:14:22,19:16:11,19:17:08,19:18:03,19:19:27,19:20:50
BS7,--,--,--,--,--,--,--,18:49:14,18:50:47,18:51:55,18:53:42,18:54:43,18:56:25,18:58:04,18:59:08,19:00:25,19:02:27,19:06:33,19:11:27,19:14:24,19:16:13,19:17:10,19:18:05,19:19:29,19:20:52
BS8(s),--,--,--,--,--,--,--,--,18:49:55,18:51:03,18:52:50,18:53:51,18:55:33,18:57:12,18:58:16,18:59:33,19:01:35,19:05:41,19:10:35,19:13:32,19:15:21,19:16:18,19:17:13,19:18:37,19:20:00
BS9,--,--,--,--,--,--,--,--,--,18:50:36,18:52:23,18:53:24,18:55:06,18:56:45,18:57:49,18:59:06,19:01:08,19:05:14,19:10:08,19:13:05,19:14:54,19:15:51,19:16:46,19:18:10,19:19:33
BS10(s),--,--,--,--,--,--,--,--,--,--,18:52:15,18:53:16,18:54:58,18:56:37,18:57:41,18:58:58,19:01:00,19:05:06,19:10:00,19:12:57,19:14:46,19:15:43,19:16:38,19:18:02,19:19:25
BS11,--,--,--,--,--,--,--,--,--,--,--,18:52:56,18:54:38,18:56:17,18:57:21,18:58:38,19:00:40,19:04:46,19:09:40,19:12:37,19:14:26,19:15:23,19:16:18,19:17:42,19:19:05
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,18:54:13,18:55:52,18:56:56,18:58:13,19:00:15,19:04:21,19:09:15,19:12:12,19:14:01,19:14:58,19:15:53,19:17:17,19:18:40
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,18:55:48,18:56:52,18:58:09,19:00:11,19:04:17,19:09:11,19:12:08,19:13:57,19:14:54,19:15:49,19:17:13,19:18:36
BS14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:56:23,18:57:40,18:59:42,19:03:48,19:08:42,19:11:39,19:13:28,19:14:25,19:15:20,19:16:44,19:18:07
BS15(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:57:14,18:59:16,19:03:22,19:08:16,19:11:13,19:13:02,19:13:59,19:14:54,19:16:18,19:17:41
BS16(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18:58:40,19:02:46,19:07:40,19:10:37,19:12:26,19:13:23,19:14:18,19:15:42,19:17:05
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:02:26,19:07:20,19:10:17,19:12:06,19:13:03,19:13:58,19:15:22,19:16:45
BS18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:13:00,19:15:57,19:17:46,19:18:43,19:19:38,19:21:02,19:22:25
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:14:28,19:16:17,19:17:14,19:18:09,19:19:33,19:20:56
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:15:00,19:15:57,19:16:52,19:18:16,19:19:39
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:15:04,19:15:59,19:17:23,19:18:46
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:16:12,19:17:36,19:18:59
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:18:11,19:19:34
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19:20:03
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
