,BS1(s),BS2,BS3,BS4(s),BS5,BS6,BS7,BS8,BS9,BS10(s),BS11(s),BS12(s),BS13,BS14(s),BS15,BS16,BS17(s),BS18(s),BS19(s),BS20(s),BS21(s),BS22,BS23,BS24,BS25(s)
BS1(s),--,07:08:55,07:11:04,07:12:28,07:13:31,07:14:34,07:15:34,07:16:49,07:18:27,07:19:34,07:21:43,07:22:47,07:24:29,07:26:30,07:27:25,07:28:35,07:30:25,07:37:55,07:42:51,07:45:48,07:47:40,07:48:33,07:49:25,07:50:31,07:51:52
BS2,--,--,07:10:38,07:12:02,07:13:05,07:14:08,07:15:08,07:16:23,07:18:01,07:19:08,07:21:17,07:22:21,07:24:03,07:26:04,07:26:59,07:28:09,07:29:59,07:37:29,07:42:25,07:45:22,07:47:14,07:48:07,07:48:59,07:50:05,07:51:26
BS3,--,--,--,07:13:50,07:14:53,07:15:56,07:16:56,07:18:11,07:19:49,07:20:56,07:23:05,07:24:09,07:25:51,07:27:52,07:28:47,07:29:57,07:31:47,07:39:17,07:44:13,07:47:10,07:49:02,07:49:55,07:50:47,07:51:53,07:53:14
BS4(s),--,--,--,--,07:14:48,07:15:51,07:16:51,07:18:06,07:19:44,07:20:51,07:23:00,07:24:04,07:25:46,07:27:47,07:28:42,07:29:52,07:31:42,07:39:12,07:44:08,07:47:05,07:48:57,07:49:50,07:50:42,07:51:48,07:53:09
BS5,--,--,--,--,--,07:15:31,07:16:31,07:17:46,07:19:24,07:20:31,07:22:40,07:23:44,07:25:26,07:27:27,07:28:22,07:29:32,07:31:22,07:38:52,07:43:48,07:46:45,07:48:37,07:49:30,07:50:22,07:51:28,07:52:49
BS6,--,--,--,--,--,--,07:15:59,07:17:14,07:18:52,07:19:59,07:22:08,07:23:12,07:24:54,07:26:55,07:27:50,07:29:00,07:30:50,07:38:20,07:43:16,07:46:13,07:48:05,07:48:58,07:49:50,07:50:56,07:52:17
BS7,--,--,--,--,--,--,--,07:16:58,07:18:36,07:19:43,07:21:52,07:22:56,07:24:38,07:26:39,07:27:34,07:28:44,07:30:34,07:38:04,07:43:00,07:45:57,07:47:49,07:48:42,07:49:34,07:50:40,07:52:01
BS8,--,--,--,--,--,--,--,--,07:18:03,07:19:10,07:21:19,07:22:23,07:24:05,07:26:06,07:27:01,07:28:11,07:30:01,07:37:31,07:42:27,07:45:24,07:47:16,07:48:09,07:49:01,07:50:07,07:51:28
BS9,--,--,--,--,--,--,--,--,--,07:18:33,07:20:42,07:21:46,07:23:28,07:25:29,07:26:24,07:27:34,07:29:24,07:36:54,07:41:50,07:44:47,07:46:39,07:47:32,07:48:24,07:49:30,07:50:51
BS10(s),--,--,--,--,--,--,--,--,--,--,07:20:27,07:21:31,07:23:13,07:25:14,07:26:09,07:27:19,07:29:09,07:36:39,07:41:35,07:44:32,07:46:24,07:47:17,07:48:09,07:49:15,07:50:36
BS11(s),--,--,--,--,--,--,--,--,--,--,--,07:20:33,07:22:15,07:24:16,07:25:11,07:26:21,07:28:11,07:35:41,07:40:37,07:43:34,07:45:26,07:46:19,07:47:11,07:48:17,07:49:38
BS12(s),--,--,--,--,--,--,--,--,--,--,--,--,07:21:44,07:23:45,07:24:40,07:25:50,07:27:40,07:35:10,07:40:06,07:43:03,07:44:55,07:45:48,07:46:40,07:47:46,07:49:07
BS13,--,--,--,--,--,--,--,--,--,--,--,--,--,07:23:18,07:24:13,07:25:23,07:27:13,07:34:43,07:39:39,07:42:36,07:44:28,07:45:21,07:46:13,07:47:19,07:48:40
BS14(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:23:59,07:25:09,07:26:59,07:34:29,07:39:25,07:42:22,07:44:14,07:45:07,07:45:59,07:47:05,07:48:26
BS15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:24:43,07:26:33,07:34:03,07:38:59,07:41:56,07:43:48,07:44:41,07:45:33,07:46:39,07:48:00
BS16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:26:41,07:34:11,07:39:07,07:42:04,07:43:56,07:44:49,07:45:41,07:46:47,07:48:08
BS17(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:33:47,07:38:43,07:41:40,07:43:32,07:44:25,07:45:17,07:46:23,07:47:44
BS18(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:43:04,07:46:01,07:47:53,07:48:46,07:49:38,07:50:44,07:52:05
BS19(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:43:43,07:45:35,07:46:28,07:47:20,07:48:26,07:49:47
BS20(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:44:08,07:45:01,07:45:53,07:46:59,07:48:20
BS21(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:44:01,07:44:53,07:45:59,07:47:20
BS22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:45:24,07:46:30,07:47:51
BS23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:46:39,07:48:00
BS24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,07:49:13
BS25(s),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
