,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS18,BS19,BS20,BS21,BS22,BS23,BS24,BS25
BS1,,0.34,-0.7,-0.47,-0.22,0.19,0.45,0.74,0.91,1.29,2.14,2.58,2.96,3.49,3.79,4.0,3.94,-1.68,-0.74,0.28,0.47,0.1,-0.46,-1.39,-1.46
BS2,,,-1.04,-0.81,-0.56,-0.15,0.12,0.4,0.57,0.95,1.8,2.24,2.62,3.15,3.45,3.66,3.59,-2.02,-1.09,-0.06,0.13,-0.24,-0.8,-1.73,-1.8
BS3,,,,0.23,0.48,0.89,1.16,1.45,1.61,1.99,2.84,3.28,3.67,4.2,4.49,4.7,4.64,-0.98,-0.04,0.98,1.18,0.8,0.24,-0.69,-0.76
BS4,,,,,0.25,0.66,0.92,1.21,1.38,1.76,2.61,3.05,3.43,3.96,4.26,4.47,4.4,-1.21,-0.28,0.75,0.94,0.57,0.01,-0.93,-0.99
BS5,,,,,,0.41,0.67,0.96,1.12,1.51,2.36,2.8,3.18,3.71,4.01,4.22,4.15,-1.46,-0.53,0.5,0.69,0.31,-0.25,-1.18,-1.24
BS6,,,,,,,0.26,0.55,0.72,1.1,1.95,2.39,2.77,3.3,3.6,3.81,3.74,-1.87,-0.94,0.09,0.28,-0.09,-0.65,-1.58,-1.65
BS7,,,,,,,,0.29,0.46,0.84,1.69,2.13,2.51,3.04,3.33,3.55,3.48,-2.13,-1.2,-0.18,0.02,-0.36,-0.92,-1.85,-1.91
BS8,,,,,,,,,0.17,0.55,1.4,1.84,2.22,2.75,3.05,3.26,3.19,-2.42,-1.49,-0.47,-0.27,-0.65,-1.21,-2.14,-2.2
BS9,,,,,,,,,,0.38,1.23,1.67,2.05,2.58,2.88,3.09,3.03,-2.59,-1.65,-0.63,-0.44,-0.81,-1.37,-2.3,-2.37
BS10,,,,,,,,,,,0.85,1.29,1.67,2.2,2.5,2.71,2.64,-2.97,-2.04,-1.01,-0.82,-1.2,-1.76,-2.69,-2.75
BS11,,,,,,,,,,,,0.44,0.82,1.35,1.65,1.86,1.79,-3.82,-2.89,-1.86,-1.67,-2.04,-2.6,-3.54,-3.6
BS12,,,,,,,,,,,,,0.38,0.91,1.21,1.42,1.35,-4.26,-3.33,-2.3,-2.11,-2.48,-3.04,-3.97,-4.04
BS13,,,,,,,,,,,,,,0.53,0.83,1.04,0.97,-4.64,-3.71,-2.68,-2.49,-2.86,-3.43,-4.35,-4.42
BS14,,,,,,,,,,,,,,,0.3,0.51,0.44,-5.17,-4.24,-3.21,-3.02,-3.39,-3.96,-4.88,-4.95
BS15,,,,,,,,,,,,,,,,0.21,0.14,-5.47,-4.53,-3.51,-3.32,-3.69,-4.25,-5.18,-5.25
BS16,,,,,,,,,,,,,,,,,-0.06,-5.68,-4.74,-3.72,-3.53,-3.9,-4.46,-5.39,-5.46
BS17,,,,,,,,,,,,,,,,,,-5.61,-4.68,-3.66,-3.46,-3.84,-4.4,-5.33,-5.4
BS18,,,,,,,,,,,,,,,,,,,0.93,1.96,2.15,1.78,1.21,0.28,0.22
BS19,,,,,,,,,,,,,,,,,,,,1.02,1.22,0.84,0.28,-0.65,-0.72
BS20,,,,,,,,,,,,,,,,,,,,,0.19,-0.18,-0.74,-1.67,-1.74
BS21,,,,,,,,,,,,,,,,,,,,,,-0.37,-0.94,-1.87,-1.93
BS22,,,,,,,,,,,,,,,,,,,,,,,-0.56,-1.49,-1.56
BS23,,,,,,,,,,,,,,,,,,,,,,,,-0.93,-1.0
BS24,,,,,,,,,,,,,,,,,,,,,,,,,-0.07
BS25,,,,,,,,,,,,,,,,,,,,,,,,,
